25.04.2024 04:58:50.409: ================================================NEW LOG SESSION===================================================
25.04.2024 04:58:50.443: pflog in      pflog out              
08.05.2024 09:48:28.117:        0     0        0     0     0
08.05.2024 09:49:28.117:        0     0        0     0     0
08.05.2024 09:50:28.117:        0     0        0     0     0
08.05.2024 09:51:28.117:        0     0        0     0     0
08.05.2024 09:52:28.117:        0     0        0     0     0
08.05.2024 09:53:28.117:        0     0        0     0     0
08.05.2024 09:54:28.117:        0     0        0     0     0
08.05.2024 09:55:28.117:        0     0        0     0     0
08.05.2024 09:56:28.117:        0     0        0     0     0
08.05.2024 09:57:28.117:        0     0        0     0     0
08.05.2024 09:58:28.117: pflog in      pflog out              
08.05.2024 09:58:28.118:  packets  errs  packets  errs colls
08.05.2024 09:58:28.118:        0     0        0     0     0
08.05.2024 09:59:28.117:        0     0        0     0     0
08.05.2024 10:00:28.117:        0     0        0     0     0
08.05.2024 10:01:28.117:        0     0        0     0     0
08.05.2024 10:02:28.117:        0     0        0     0     0
08.05.2024 10:03:28.117:        0     0        0     0     0
08.05.2024 10:04:28.117:        0     0        0     0     0
08.05.2024 10:05:28.117:        0     0        0     0     0
08.05.2024 10:06:28.117:        0     0        0     0     0
08.05.2024 10:07:28.117:        0     0        0     0     0
08.05.2024 10:08:28.117:        0     0        0     0     0
08.05.2024 10:09:28.117:        0     0        0     0     0
08.05.2024 10:10:28.117:        0     0        0     0     0
08.05.2024 10:11:28.117:        0     0        0     0     0
08.05.2024 10:12:28.117:        0     0        0     0     0
08.05.2024 10:13:28.117:        0     0        0     0     0
08.05.2024 10:14:28.117:        0     0        0     0     0
08.05.2024 10:15:28.117:        0     0        0     0     0
08.05.2024 10:16:28.117:        0     0        0     0     0
08.05.2024 10:17:28.117:        0     0        0     0     0
08.05.2024 10:18:28.117:        0     0        0     0     0
08.05.2024 10:19:28.117: pflog in      pflog out              
08.05.2024 10:19:28.118:  packets  errs  packets  errs colls
08.05.2024 10:19:28.118:        0     0        0     0     0
08.05.2024 10:20:28.117:        0     0        0     0     0
08.05.2024 10:21:28.117:        0     0        0     0     0
08.05.2024 10:22:28.118:        0     0        0     0     0
08.05.2024 10:23:28.118:        0     0        0     0     0
08.05.2024 10:24:28.118:        0     0        0     0     0
08.05.2024 10:25:28.118:        0     0        0     0     0
08.05.2024 10:26:28.117:        0     0        0     0     0
08.05.2024 10:27:28.118:        0     0        0     0     0
08.05.2024 10:28:28.118:        0     0        0     0     0
08.05.2024 10:29:28.117:        0     0        0     0     0
08.05.2024 10:30:28.118:        0     0        0     0     0
08.05.2024 10:31:28.117:        0     0        0     0     0
08.05.2024 10:32:28.118:        0     0        0     0     0
08.05.2024 10:33:28.117:        0     0        0     0     0
08.05.2024 10:34:28.117:        0     0        0     0     0
08.05.2024 10:35:28.118:        0     0        0     0     0
08.05.2024 10:36:28.118:        0     0        0     0     0
08.05.2024 10:37:28.117:        0     0        0     0     0
08.05.2024 10:38:28.118:        0     0        0     0     0
08.05.2024 10:39:28.118:        0     0        0     0     0
08.05.2024 10:40:28.117: pflog in      pflog out              
08.05.2024 10:40:28.118:  packets  errs  packets  errs colls
08.05.2024 10:40:28.118:        0     0        0     0     0
08.05.2024 10:41:28.117:        0     0        0     0     0
08.05.2024 10:42:28.119:        0     0        0     0     0
08.05.2024 10:43:28.117:        0     0        0     0     0
08.05.2024 10:44:28.118:        0     0        0     0     0
08.05.2024 10:45:28.117:        0     0        0     0     0
08.05.2024 10:46:28.118:        0     0        0     0     0
08.05.2024 10:47:28.118:        0     0        0     0     0
08.05.2024 10:48:28.117:        0     0        0     0     0
08.05.2024 10:49:28.118:        0     0        0     0     0
08.05.2024 10:50:28.117:        0     0        0     0     0
08.05.2024 10:51:28.118:        0     0        0     0     0
08.05.2024 10:52:28.117:        0     0        0     0     0
08.05.2024 10:53:28.118:        0     0        0     0     0
08.05.2024 10:54:28.118:        0     0        0     0     0
08.05.2024 10:55:28.117:        0     0        0     0     0
08.05.2024 10:56:28.118:        0     0        0     0     0
13.05.2024 04:26:36.514: ================================================NEW LOG SESSION===================================================
13.05.2024 04:26:36.536: pflog in      pflog out              
13.05.2024 04:26:36.536:  packets  errs  packets  errs colls
13.05.2024 04:26:36.536:        0     0        0     0     0
13.05.2024 04:27:36.454:        0     0        0     0     0
13.05.2024 04:28:36.455:        0     0        0     0     0
13.05.2024 04:29:36.455:        0     0        0     0     0
13.05.2024 04:30:36.454:        0     0        0     0     0
13.05.2024 04:31:36.454:        0     0        0     0     0
13.05.2024 04:32:36.455:        0     0        0     0     0
13.05.2024 04:33:36.455:        0     0        0     0     0
13.05.2024 04:34:36.454:        0     0        0     0     0
13.05.2024 04:35:36.455:        0     0        0     0     0
13.05.2024 04:36:36.455:        0     0        0     0     0
13.05.2024 04:37:36.453:        0     0        0     0     0
13.05.2024 04:38:36.456:        0     0        0     0     0
13.05.2024 04:39:36.454:        0     0        0     0     0
13.05.2024 04:40:36.454:        0     0        0     0     0
13.05.2024 04:41:36.455:        0     0        0     0     0
13.05.2024 04:42:36.454:        0     0        0     0     0
13.05.2024 04:43:36.454:        0     0        0     0     0
13.05.2024 04:44:36.454:        0     0        0     0     0
13.05.2024 04:45:36.454:        0     0        0     0     0
13.05.2024 04:46:36.454:        0     0        0     0     0
13.05.2024 04:47:36.454: pflog in      pflog out              
13.05.2024 04:47:36.455:  packets  errs  packets  errs colls
13.05.2024 04:47:36.455:        0     0        0     0     0
13.05.2024 04:48:49.411: ================================================NEW LOG SESSION===================================================
13.05.2024 04:48:49.437: pflog in      pflog out              
13.05.2024 04:48:49.437:  packets  errs  packets  errs colls
13.05.2024 04:48:49.437:        0     0        0     0     0
13.05.2024 04:49:49.331:        0     0        0     0     0
13.05.2024 04:50:49.332:        0     0        0     0     0
13.05.2024 04:51:49.331:        0     0        0     0     0
13.05.2024 04:52:49.337:        0     0        0     0     0
13.05.2024 04:53:49.331:        0     0        0     0     0
13.05.2024 04:54:49.331:        0     0        0     0     0
13.05.2024 04:55:15.337: ================================================END LOG SESSION===================================================
13.05.2024 04:56:19.413: ================================================NEW LOG SESSION===================================================
13.05.2024 04:56:19.428: pflog in      pflog out              
13.05.2024 04:56:19.428:  packets  errs  packets  errs colls
13.05.2024 04:56:19.428:        0     0        0     0     0
13.05.2024 04:57:19.320:        0     0        0     0     0
13.05.2024 04:58:19.318:        0     0        0     0     0
13.05.2024 04:59:19.317:        0     0        0     0     0
13.05.2024 05:00:19.317:        0     0        0     0     0
13.05.2024 05:01:19.317:        0     0        0     0     0
13.05.2024 05:02:19.318:        0     0        0     0     0
13.05.2024 05:03:19.319:        0     0        0     0     0
13.05.2024 05:04:19.318:        0     0        0     0     0
13.05.2024 05:05:19.317:        0     0        0     0     0
13.05.2024 05:06:19.317:        0     0        0     0     0
13.05.2024 05:07:19.318:        0     0        0     0     0
13.05.2024 05:08:19.318:        0     0        0     0     0
13.05.2024 05:09:19.318:        0     0        0     0     0
13.05.2024 05:10:19.317:        0     0        0     0     0
13.05.2024 05:11:19.317:        0     0        0     0     0
13.05.2024 05:12:19.317:        0     0        0     0     0
13.05.2024 05:13:19.318:        0     0        0     0     0
13.05.2024 05:14:19.319:        0     0        0     0     0
13.05.2024 05:15:19.319:        0     0        0     0     0
13.05.2024 05:16:19.317:        0     0        0     0     0
13.05.2024 05:17:19.317: pflog in      pflog out              
13.05.2024 05:17:19.318:  packets  errs  packets  errs colls
13.05.2024 05:17:19.318:        0     0        0     0     0
13.05.2024 05:18:19.317:        0     0        0     0     0
13.05.2024 05:19:19.318:        0     0        0     0     0
13.05.2024 05:20:19.318:        0     0        0     0     0
13.05.2024 05:21:19.318:        0     0        0     0     0
13.05.2024 05:22:19.317:        0     0        0     0     0
13.05.2024 05:23:19.317:        0     0        0     0     0
13.05.2024 05:24:19.319:        0     0        0     0     0
13.05.2024 05:25:19.318:        0     0        0     0     0
13.05.2024 05:29:31.576: ================================================NEW LOG SESSION===================================================
13.05.2024 05:29:31.595: pflog in      pflog out              
13.05.2024 05:29:31.595:  packets  errs  packets  errs colls
13.05.2024 05:29:31.595:        0     0        0     0     0
13.05.2024 05:30:31.497:        0     0        0     0     0
13.05.2024 05:31:31.499:        0     0        0     0     0
13.05.2024 05:32:31.497:        0     0        0     0     0
13.05.2024 05:33:31.498:        0     0        0     0     0
13.05.2024 05:34:31.497:        0     0        0     0     0
13.05.2024 05:35:31.497:        0     0        0     0     0
13.05.2024 05:36:31.497:        0     0        0     0     0
13.05.2024 05:37:31.497:        0     0        0     0     0
13.05.2024 05:38:31.498:        0     0        0     0     0
13.05.2024 05:39:31.497:        0     0        0     0     0
13.05.2024 05:40:31.497:        0     0        0     0     0
13.05.2024 05:41:31.497:        0     0        0     0     0
13.05.2024 05:42:31.497:        0     0        0     0     0
13.05.2024 05:43:31.497:        0     0        0     0     0
13.05.2024 05:44:31.497:        0     0        0     0     0
13.05.2024 05:45:31.498:        0     0        0     0     0
13.05.2024 05:46:31.497:        0     0        0     0     0
13.05.2024 05:47:31.497:        0     0        0     0     0
13.05.2024 05:48:31.498:        0     0        0     0     0
13.05.2024 05:49:31.497:        0     0        0     0     0
13.05.2024 05:50:31.497: pflog in      pflog out              
13.05.2024 05:50:31.498:  packets  errs  packets  errs colls
13.05.2024 05:50:31.498:        0     0        0     0     0
13.05.2024 05:51:31.497:        0     0        0     0     0
13.05.2024 05:52:31.497:        0     0        0     0     0
13.05.2024 05:53:31.497:        0     0        0     0     0
13.05.2024 05:54:31.497:        0     0        0     0     0
13.05.2024 05:55:31.498:        0     0        0     0     0
13.05.2024 05:56:31.497:        0     0        0     0     0
13.05.2024 05:59:53.646: ================================================NEW LOG SESSION===================================================
13.05.2024 05:59:53.667: pflog in      pflog out              
13.05.2024 05:59:53.667:  packets  errs  packets  errs colls
13.05.2024 05:59:53.667:        0     0        0     0     0
13.05.2024 06:00:53.578:        0     0        0     0     0
13.05.2024 06:01:53.578:        0     0        0     0     0
13.05.2024 06:02:53.580:        0     0        0     0     0
13.05.2024 06:03:53.578:        0     0        0     0     0
13.05.2024 06:04:53.578:        0     0        0     0     0
13.05.2024 06:05:53.580:        0     0        0     0     0
13.05.2024 06:06:53.579:        0     0        0     0     0
13.05.2024 06:30:44.295: ================================================NEW LOG SESSION===================================================
13.05.2024 06:30:44.309: pflog in      pflog out              
13.05.2024 06:30:44.309:  packets  errs  packets  errs colls
13.05.2024 06:30:44.309:        0     0        0     0     0
13.05.2024 06:31:44.232:        0     0        0     0     0
13.05.2024 06:32:44.231:        0     0        0     0     0
13.05.2024 06:33:44.231:        0     0        0     0     0
13.05.2024 06:34:44.231:        0     0        0     0     0
13.05.2024 06:35:44.232:        0     0        0     0     0
13.05.2024 06:36:44.232:        0     0        0     0     0
13.05.2024 06:37:44.231:        0     0        0     0     0
13.05.2024 06:38:44.232:        0     0        0     0     0
13.05.2024 06:39:44.232:        0     0        0     0     0
13.05.2024 06:40:44.232:        0     0        0     0     0
13.05.2024 06:41:44.231:        0     0        0     0     0
13.05.2024 06:42:44.231:        0     0        0     0     0
13.05.2024 06:43:44.232:        0     0        0     0     0
13.05.2024 06:44:44.231:        0     0        0     0     0
13.05.2024 06:45:44.231:        0     0        0     0     0
13.05.2024 06:46:44.232:        0     0        0     0     0
13.05.2024 06:47:44.232:        0     0        0     0     0
13.05.2024 06:48:44.231:        0     0        0     0     0
13.05.2024 06:49:44.231:        0     0        0     0     0
13.05.2024 06:50:44.232:        0     0        0     0     0
13.05.2024 06:51:44.231: pflog in      pflog out              
13.05.2024 06:51:44.232:  packets  errs  packets  errs colls
13.05.2024 06:51:44.232:        0     0        0     0     0
13.05.2024 06:52:44.231:        0     0        0     0     0
13.05.2024 06:53:44.231:        0     0        0     0     0
13.05.2024 06:54:44.231:        0     0        0     0     0
13.05.2024 06:55:44.231:        0     0        0     0     0
13.05.2024 06:56:44.231:        0     0        0     0     0
13.05.2024 06:57:44.232:        0     0        0     0     0
13.05.2024 06:58:44.231:        0     0        0     0     0
13.05.2024 06:59:44.231:        0     0        0     0     0
13.05.2024 07:00:44.231:        0     0        0     0     0
13.05.2024 07:01:44.231:        0     0        0     0     0
13.05.2024 07:02:44.231:        0     0        0     0     0
13.05.2024 07:03:44.232:        0     0        0     0     0
13.05.2024 07:04:44.231:        0     0        0     0     0
13.05.2024 07:05:44.232:        0     0        0     0     0
13.05.2024 07:06:44.233:        0     0        0     0     0
13.05.2024 07:07:44.231:        0     0        0     0     0
13.05.2024 07:08:44.231:        0     0        0     0     0
13.05.2024 07:09:44.231:        0     0        0     0     0
13.05.2024 07:10:44.231:        0     0        0     0     0
13.05.2024 07:11:44.231:        0     0        0     0     0
13.05.2024 07:12:44.231: pflog in      pflog out              
13.05.2024 07:12:44.232:  packets  errs  packets  errs colls
13.05.2024 07:12:44.233:        0     0        0     0     0
13.05.2024 07:13:44.231:        0     0        0     0     0
13.05.2024 07:14:44.231:        0     0        0     0     0
13.05.2024 07:15:44.232:        0     0        0     0     0
13.05.2024 07:16:44.232:        0     0        0     0     0
13.05.2024 07:17:44.231:        0     0        0     0     0
13.05.2024 07:18:44.231:        0     0        0     0     0
13.05.2024 07:19:44.231:        0     0        0     0     0
13.05.2024 07:20:44.231:        0     0        0     0     0
13.05.2024 07:21:44.231:        0     0        0     0     0
13.05.2024 07:22:44.232:        0     0        0     0     0
13.05.2024 07:23:44.231:        0     0        0     0     0
13.05.2024 07:24:44.231:        0     0        0     0     0
13.05.2024 07:25:44.231:        0     0        0     0     0
13.05.2024 07:26:44.231:        0     0        0     0     0
13.05.2024 07:27:44.231:        0     0        0     0     0
13.05.2024 07:28:44.231:        0     0        0     0     0
13.05.2024 07:29:44.231:        0     0        0     0     0
13.05.2024 07:30:44.231:        0     0        0     0     0
13.05.2024 07:31:44.232:        0     0        0     0     0
13.05.2024 07:32:44.231:        0     0        0     0     0
13.05.2024 07:33:44.231: pflog in      pflog out              
13.05.2024 07:33:44.232:  packets  errs  packets  errs colls
13.05.2024 07:33:44.232:        0     0        0     0     0
13.05.2024 07:34:44.231:        0     0        0     0     0
13.05.2024 07:35:44.231:        0     0        0     0     0
13.05.2024 07:36:44.231:        0     0        0     0     0
13.05.2024 07:37:44.231:        0     0        0     0     0
13.05.2024 07:38:44.231:        0     0        0     0     0
13.05.2024 07:39:44.231:        0     0        0     0     0
13.05.2024 07:40:44.231:        0     0        0     0     0
13.05.2024 07:41:44.231:        0     0        0     0     0
13.05.2024 07:42:44.231:        0     0        0     0     0
13.05.2024 07:43:44.231:        0     0        0     0     0
13.05.2024 07:44:44.231:        0     0        0     0     0
13.05.2024 07:45:44.231:        0     0        0     0     0
13.05.2024 07:46:44.232:        0     0        0     0     0
13.05.2024 07:47:44.231:        0     0        0     0     0
13.05.2024 07:48:44.231:        0     0        0     0     0
13.05.2024 07:49:44.231:        0     0        0     0     0
13.05.2024 07:50:44.231:        0     0        0     0     0
13.05.2024 07:51:44.231:        0     0        0     0     0
13.05.2024 07:52:44.231:        0     0        0     0     0
13.05.2024 07:53:44.231:        0     0        0     0     0
13.05.2024 07:54:44.231: pflog in      pflog out              
13.05.2024 07:54:44.232:  packets  errs  packets  errs colls
13.05.2024 07:54:44.232:        0     0        0     0     0
13.05.2024 07:55:44.231:        0     0        0     0     0
13.05.2024 07:56:44.231:        0     0        0     0     0
13.05.2024 07:57:44.231:        0     0        0     0     0
13.05.2024 07:58:44.231:        0     0        0     0     0
13.05.2024 07:59:44.232:        0     0        0     0     0
13.05.2024 08:00:44.231:        0     0        0     0     0
13.05.2024 08:01:44.231:        0     0        0     0     0
13.05.2024 08:02:44.231:        0     0        0     0     0
13.05.2024 08:03:44.231:        0     0        0     0     0
13.05.2024 08:04:44.231:        0     0        0     0     0
13.05.2024 08:05:44.231:        0     0        0     0     0
13.05.2024 08:06:44.232:        0     0        0     0     0
13.05.2024 08:07:44.232:        0     0        0     0     0
13.05.2024 08:08:44.232:        0     0        0     0     0
13.05.2024 08:09:44.231:        0     0        0     0     0
13.05.2024 08:10:44.232:        0     0        0     0     0
13.05.2024 08:11:44.231:        0     0        0     0     0
13.05.2024 08:12:44.232:        0     0        0     0     0
13.05.2024 08:13:44.232:        0     0        0     0     0
13.05.2024 08:14:44.231:        0     0        0     0     0
13.05.2024 08:15:44.231: pflog in      pflog out              
13.05.2024 08:15:44.232:  packets  errs  packets  errs colls
13.05.2024 08:15:44.232:        0     0        0     0     0
13.05.2024 08:16:44.231:        0     0        0     0     0
13.05.2024 08:17:44.231:        0     0        0     0     0
13.05.2024 08:18:44.232:        0     0        0     0     0
13.05.2024 08:19:44.232:        0     0        0     0     0
13.05.2024 08:20:44.231:        0     0        0     0     0
13.05.2024 08:21:44.231:        0     0        0     0     0
13.05.2024 08:22:44.232:        0     0        0     0     0
13.05.2024 08:23:44.232:        0     0        0     0     0
13.05.2024 08:24:44.231:        0     0        0     0     0
13.05.2024 08:25:44.231:        0     0        0     0     0
13.05.2024 08:26:44.231:        0     0        0     0     0
13.05.2024 08:27:44.231:        0     0        0     0     0
13.05.2024 08:28:44.232:        0     0        0     0     0
13.05.2024 08:29:44.232:        0     0        0     0     0
13.05.2024 08:30:44.232:        0     0        0     0     0
13.05.2024 08:31:44.231:        0     0        0     0     0
13.05.2024 08:32:44.232:        0     0        0     0     0
13.05.2024 08:33:44.231:        0     0        0     0     0
13.05.2024 08:34:44.231:        0     0        0     0     0
13.05.2024 08:35:44.231:        0     0        0     0     0
13.05.2024 08:36:44.231: pflog in      pflog out              
13.05.2024 08:36:44.232:  packets  errs  packets  errs colls
13.05.2024 08:36:44.232:        0     0        0     0     0
13.05.2024 08:37:44.232:        0     0        0     0     0
13.05.2024 08:38:44.231:        0     0        0     0     0
13.05.2024 08:39:44.232:        0     0        0     0     0
13.05.2024 08:40:44.232:        0     0        0     0     0
13.05.2024 08:41:44.231:        0     0        0     0     0
13.05.2024 08:42:44.232:        0     0        0     0     0
13.05.2024 08:43:44.231:        0     0        0     0     0
13.05.2024 08:44:44.231:        0     0        0     0     0
13.05.2024 08:45:44.231:        0     0        0     0     0
13.05.2024 08:46:44.231:        0     0        0     0     0
13.05.2024 08:47:44.232:        0     0        0     0     0
13.05.2024 08:48:44.232:        0     0        0     0     0
13.05.2024 08:49:44.232:        0     0        0     0     0
13.05.2024 08:50:44.232:        0     0        0     0     0
13.05.2024 08:51:44.231:        0     0        0     0     0
13.05.2024 08:52:44.231:        0     0        0     0     0
13.05.2024 08:53:44.231:        0     0        0     0     0
13.05.2024 08:54:44.231:        0     0        0     0     0
13.05.2024 08:55:44.232:        0     0        0     0     0
13.05.2024 08:56:44.231:        0     0        0     0     0
13.05.2024 08:57:44.231: pflog in      pflog out              
13.05.2024 08:57:44.232:  packets  errs  packets  errs colls
13.05.2024 08:57:44.233:        0     0        0     0     0
13.05.2024 08:58:44.233:        0     0        0     0     0
13.05.2024 08:59:44.232:        0     0        0     0     0
13.05.2024 09:00:44.231:        0     0        0     0     0
13.05.2024 09:01:44.232:        0     0        0     0     0
13.05.2024 09:02:44.232:        0     0        0     0     0
13.05.2024 09:03:44.231:        0     0        0     0     0
13.05.2024 09:04:44.232:        0     0        0     0     0
13.05.2024 09:05:44.232:        0     0        0     0     0
13.05.2024 09:06:44.231:        0     0        0     0     0
13.05.2024 09:07:44.231:        0     0        0     0     0
13.05.2024 09:08:44.231:        0     0        0     0     0
13.05.2024 09:09:44.231:        0     0        0     0     0
13.05.2024 09:10:44.232:        0     0        0     0     0
13.05.2024 09:11:44.232:        0     0        0     0     0
13.05.2024 09:12:44.232:        0     0        0     0     0
13.05.2024 09:13:44.231:        0     0        0     0     0
13.05.2024 09:14:44.232:        0     0        0     0     0
13.05.2024 09:15:44.231:        0     0        0     0     0
13.05.2024 09:16:44.232:        0     0        0     0     0
13.05.2024 09:17:44.231:        0     0        0     0     0
13.05.2024 09:18:44.231: pflog in      pflog out              
13.05.2024 09:18:44.233:  packets  errs  packets  errs colls
13.05.2024 09:18:44.237:        0     0        0     0     0
13.05.2024 09:19:44.231:        0     0        0     0     0
13.05.2024 09:20:44.232:        0     0        0     0     0
13.05.2024 09:21:44.231:        0     0        0     0     0
13.05.2024 09:22:44.232:        0     0        0     0     0
13.05.2024 09:23:44.232:        0     0        0     0     0
13.05.2024 09:24:44.234:        0     0        0     0     0
13.05.2024 09:25:44.232:        0     0        0     0     0
13.05.2024 09:26:44.232:        0     0        0     0     0
13.05.2024 09:27:44.231:        0     0        0     0     0
13.05.2024 09:28:44.231:        0     0        0     0     0
13.05.2024 09:29:44.232:        0     0        0     0     0
13.05.2024 09:30:44.232:        0     0        0     0     0
13.05.2024 09:31:44.231:        0     0        0     0     0
13.05.2024 09:32:44.231:        0     0        0     0     0
13.05.2024 09:33:44.231:        0     0        0     0     0
13.05.2024 09:34:44.232:        0     0        0     0     0
13.05.2024 09:35:44.231:        0     0        0     0     0
13.05.2024 09:36:44.232:        0     0        0     0     0
13.05.2024 09:37:44.231:        0     0        0     0     0
13.05.2024 09:38:44.231:        0     0        0     0     0
13.05.2024 09:39:44.231: pflog in      pflog out              
13.05.2024 09:39:44.232:  packets  errs  packets  errs colls
13.05.2024 09:39:44.233:        0     0        0     0     0
13.05.2024 09:40:44.231:        0     0        0     0     0
13.05.2024 09:41:44.231:        0     0        0     0     0
13.05.2024 09:42:44.232:        0     0        0     0     0
13.05.2024 09:43:44.232:        0     0        0     0     0
13.05.2024 09:44:44.232:        0     0        0     0     0
13.05.2024 09:45:44.231:        0     0        0     0     0
13.05.2024 09:46:44.232:        0     0        0     0     0
13.05.2024 09:47:44.231:        0     0        0     0     0
13.05.2024 09:48:44.232:        0     0        0     0     0
13.05.2024 09:49:44.231:        0     0        0     0     0
13.05.2024 09:50:44.231:        0     0        0     0     0
13.05.2024 09:51:44.232:        0     0        0     0     0
13.05.2024 09:52:44.232:        0     0        0     0     0
13.05.2024 09:53:44.232:        0     0        0     0     0
